event_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,pilot_total,latimes_make,latimes_model,latimes_make_and_model
20121010X41638,BELL,206B,CEN13FA009,2012,10/10/12 00:00:00,CROWLEY,LA,USA,1,1,BELL,206,BELL 206
20130222X12624,EUROCOPTER,AS 350 B2,CEN13FA174,2013,02/22/13 00:00:00,OKLAHOMA CITY,OK,USA,2,1,AIRBUS,350,AIRBUS 350
20140127X44720,BELL,206L 3,CEN14FA122,2014,01/27/14 00:00:00,SILT,CO,USA,3,1,BELL,206,BELL 206
20091012X15520,MCDONNELL DOUGLAS HELI CO,369FF,WPR10FA012,2009,10/12/09 00:00:00,FOSSIL,OR,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20161116X00108,HUGHES,369D/500D,WPR17FA021,2016,11/15/16 00:00:00,PUKOO,HI,USA,2,1,HUGHES,369,HUGHES 369
20140523X44003,ROBINSON HELICOPTER,R22 BETA,WPR14FA203,2014,05/23/14 00:00:00,SANTA PAULA,CA,USA,1,1,ROBINSON,R22,ROBINSON R22
20080529X00746,AEROSPATIALE,AS-350-D,SEA08MA136,2008,05/24/08 00:00:00,AVALON,CA,USA,3,1,AIRBUS,350,AIRBUS 350
20131009X50051,BELL,206L 3,CEN14FA004,2013,10/09/13 00:00:00,"VENICE, LA",GM,USA,1,1,BELL,206,BELL 206
20061222X01838,BELL,407,NYC07FA048,2006,12/14/06 00:00:00,DAGSBORO,DE,USA,2,1,BELL,407,BELL 407
20121010X63824,BELL,407,ERA13FA014,2012,10/09/12 00:00:00,COOLBAUGH TOWNSHIP,PA,USA,2,1,BELL,407,BELL 407
20130331X41252,EUROCOPTER,AS350,ANC13GA036,2013,03/30/13 00:00:00,TALKEETNA,AK,USA,3,1,AIRBUS,350,AIRBUS 350
20140318X21532,EUROCOPTER,AS 350 B2,WPR14FA137,2014,03/18/14 00:00:00,SEATTLE,WA,USA,2,1,AIRBUS,350,AIRBUS 350
20080819X01260,ROBINSON HELICOPTER,R22 BETA II,SEA08FA185,2008,08/17/08 00:00:00,OLALLA,WA,USA,1,1,ROBINSON,R22,ROBINSON R22
20160326X80544,EUROCOPTER,AS 350 B2,ERA16FA140,2016,03/26/16 00:00:00,ENTERPRISE,AL,USA,4,1,AIRBUS,350,AIRBUS 350
20101015X73141,BELL,206B,CEN11GA020,2010,10/15/10 00:00:00,CLARKSON VALLEY,MO,USA,1,1,BELL,206,BELL 206
20080715X01051,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7,1,BELL,407,BELL 407
20080715X01051,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7,1,BELL,407,BELL 407
20080128X00108,ROBINSON,R44,MIA08FA044,2008,01/22/08 00:00:00,OCHOPEE,FL,USA,2,1,ROBINSON,R44,ROBINSON R44
20090724X05537,ROBINSON HELICOPTER,R44,ERA09FA417,2009,07/23/09 00:00:00,BOONSBORO,MD,USA,4,1,ROBINSON,R44,ROBINSON R44
20090926X65328,EUROCOPTER,AS-350,ERA09FA537,2009,09/25/09 00:00:00,GEORGETOWN,SC,USA,3,1,AIRBUS,350,AIRBUS 350
20090722X34202,HUGHES,369,ERA09FA414,2009,07/22/09 00:00:00,FRANKLIN,PA,USA,1,1,HUGHES,369,HUGHES 369
20060817X01187,ROBINSON,R22 BETA,LAX06LA257,2006,08/10/06 00:00:00,TUCSON,AZ,USA,1,1,ROBINSON,R22,ROBINSON R22
20100806X55641,ROBINSON HELICOPTER COMPANY,R44 II,ERA10FA403,2010,08/02/10 00:00:00,BLAIRSVILLE,GA,USA,2,1,ROBINSON,R44,ROBINSON R44
20070612X00715,HUGHES,369D,SEA07LA135,2007,05/28/07 00:00:00,COLUMBUS,MT,USA,1,1,HUGHES,369,HUGHES 369
20130525X61706,ROBINSON HELICOPTER COMPANY,R44 II,CEN13FA295,2013,05/24/13 00:00:00,CROSS TIMBERS,MO,USA,2,1,ROBINSON,R44,ROBINSON R44
20100105X94046,BELL,206B,WPR10GA097,2010,01/05/10 00:00:00,AUBERRY,CA,USA,4,1,BELL,206,BELL 206
20090808X42846,EUROCOPTER,AS 350 BA,ERA09MA447,2009,08/08/09 00:00:00,HOBOKEN,NJ,USA,9,1,AIRBUS,350,AIRBUS 350
20090104X12037,SIKORSKY,S-76C,CEN09MA117,2009,01/04/09 00:00:00,MORGAN CITY,LA,USA,8,2,SIKORSKY,76,SIKORSKY 76
20130102X13158,BELL,206,WPR13FA080,2013,01/02/13 00:00:00,DELANO,CA,USA,1,1,BELL,206,BELL 206
20130727X31220,ROBINSON HELICOPTER COMPANY,R44 II,WPR13FA343,2013,07/27/13 00:00:00,THOMPSON FALLS,MT,USA,1,1,ROBINSON,R44,ROBINSON R44
20121012X13500,ROBINSON HELICOPTER COMPANY,R44 II,CEN13FA010,2012,10/11/12 00:00:00,BLANCO,TX,USA,3,1,ROBINSON,R44,ROBINSON R44
20091017X64138,ROBINSON HELICOPTER,R22 BETA,CEN10FA019,2009,10/14/09 00:00:00,TAHLEQUAH,OK,USA,2,1,ROBINSON,R22,ROBINSON R22
20090901X80259,ROBINSON,R44,ERA09FA497,2009,09/01/09 00:00:00,JACKSON,MS,USA,1,1,ROBINSON,R44,ROBINSON R44
20090225X75532,HUGHES,369F,ERA09LA173,2009,02/24/09 00:00:00,MOYOCK,NC,USA,1,2,HUGHES,369,HUGHES 369
20060111X00044,ROBINSON,R44,MIA06FA039,2006,01/01/06 00:00:00,GRAND RIDGE,FL,USA,3,1,ROBINSON,R44,ROBINSON R44
20130210X93918,BELL,206B,WPR13FA119,2013,02/10/13 00:00:00,ACTON,CA,USA,3,1,BELL,206,BELL 206
20060419X00461,ROBINSON,R44 II,DFW06FA102,2006,04/13/06 00:00:00,FREDERICKSBURG,TX,USA,2,1,ROBINSON,R44,ROBINSON R44
20070605X00681,HUGHES,369A,MIA07FA098,2007,05/13/07 00:00:00,MOULTON,AL,USA,1,1,HUGHES,369,HUGHES 369
20130218X22833,BELL,206B,WPR13GA128,2013,02/18/13 00:00:00,EUREKA,NV,USA,1,1,BELL,206,BELL 206
20120910X05133,ROBINSON HELICOPTER,R22 BETA,CEN12FA621,2012,09/10/12 00:00:00,HOUSTON,TX,USA,2,1,ROBINSON,R22,ROBINSON R22
20100728X92614,AMERICAN EUROCOPTER LLC,AS 350 B3,WPR10FA371,2010,07/28/10 00:00:00,TUCSON,AZ,USA,3,1,AIRBUS,350,AIRBUS 350
20120826X42003,BELL,407,ERA12FA527,2012,08/24/12 00:00:00,ABINGDON,VA,USA,1,1,BELL,407,BELL 407
20081211X45825,BELL,206L-4,CEN09FA086,2008,12/11/08 00:00:00,SABINE PASS,TX,USA,5,1,BELL,206,BELL 206
20140529X73728,ROBINSON HELICOPTER COMPANY,R44 II,ANC14FA030,2014,05/28/14 00:00:00,CHUGIAK,AK,USA,1,1,ROBINSON,R44,ROBINSON R44
20120216X03340,BELL,407,WPR12GA106,2012,02/15/12 00:00:00,MORAN JUNCTION,WY,USA,1,1,BELL,407,BELL 407
20081019X15543,ROBINSON,R22,ERA09FA022,2008,10/16/08 00:00:00,DRYDEN,NY,USA,1,1,ROBINSON,R22,ROBINSON R22
20120701X53951,AEROSPATIALE,AS350B,WPR12FA282,2012,06/30/12 00:00:00,CAMP VERDE,AZ,USA,4,1,AIRBUS,350,AIRBUS 350
20140612X31159,BELL,206 L4,CEN14FA286,2014,06/11/14 00:00:00,SOUTH TIMBALIER PLATFORM,GM,USA,2,1,BELL,206,BELL 206
20100621X31143,ROBINSON HELICOPTER,R44,ANC10LA053,2010,06/19/10 00:00:00,UNALASKA,AK,USA,1,1,ROBINSON,R44,ROBINSON R44
20150110X10017,ROBINSON HELICOPTER,R22 BETA,ERA15FA096,2015,01/10/15 00:00:00,CATANO,PR,USA,1,1,ROBINSON,R22,ROBINSON R22
20150101X15630,BELL,206,WPR15FA072,2014,12/31/14 00:00:00,BENSON,AZ,USA,2,1,BELL,206,BELL 206
20071119X01805,ROBINSON HELICOPTER,R44,NYC08FA026,2007,11/05/07 00:00:00,JAMESTOWN,TN,USA,3,1,ROBINSON,R44,ROBINSON R44
20140819X50947,MCDONNELL DOUGLAS HELICOPTER,369E,ERA14FA396,2014,08/19/14 00:00:00,NORTHPORT,AL,USA,2,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20150703X00859,AIRBUS HELICOPTERS INC,AS350B3E,CEN15MA290,2015,07/03/15 00:00:00,FRISCO,CO,USA,1,1,AIRBUS,350,AIRBUS 350
20070430X00482,ROBINSON HELICOPTER COMPANY,R44 II,CHI07FA114,2007,04/22/07 00:00:00,BASS LAKE,IN,USA,2,1,ROBINSON,R44,ROBINSON R44
20130427X30522,BELL,206B,WPR13FA208,2013,04/27/13 00:00:00,SHEPHERD,MT,USA,1,1,BELL,206,BELL 206
20130607X04715,BELL HELICOPTER TEXTRON,206L-1,ERA13FA273,2013,06/06/13 00:00:00,MANCHESTER,KY,USA,3,1,BELL,206,BELL 206
20140407X83620,ROBINSON HELICOPTER,R22 BETA,WPR14FA158,2014,04/06/14 00:00:00,GREEN RIVER,UT,USA,2,1,ROBINSON,R22,ROBINSON R22
20150308X10201,AIRBUS HELICOPTERS (EUROCOPTE,EC-130-B4,CEN15FA164,2015,03/06/15 00:00:00,ST LOUIS,MO,USA,1,1,AIRBUS,130,AIRBUS 130
20131022X92949,EUROCOPTER,AS 350 B3,ERA14FA010,2013,10/22/13 00:00:00,SOMERVILLE,TN,USA,3,1,AIRBUS,350,AIRBUS 350
20140208X05221,ROBINSON HELICOPTER COMPANY,R44 II,ERA14FA115,2014,02/08/14 00:00:00,PANACEA,FL,USA,2,1,ROBINSON,R44,ROBINSON R44
20121130X74908,ROBINSON HELICOPTER,R22 BETA II,ERA13FA070,2012,11/30/12 00:00:00,APOLLO BEACH,FL,USA,1,1,ROBINSON,R22,ROBINSON R22
20141023X01333,ROBINSON HELICOPTER COMPANY,R44 II,ERA15FA025,2014,10/23/14 00:00:00,FREDERICK,MD,USA,3,2,ROBINSON,R44,ROBINSON R44
20080520X00702,EUROCOPTER DEUTSCHLAND GMBH,EC 135 T2+,CHI08FA128,2008,05/10/08 00:00:00,LA CROSSE,WI,USA,3,1,AIRBUS,135,AIRBUS 135
20090611X91250,ROBINSON HELICOPTER,R22 BETA,WPR09FA284,2009,06/11/09 00:00:00,MORRISTOWN,AZ,USA,1,1,ROBINSON,R22,ROBINSON R22
20160504X30424,MCDONNELL DOUGLAS HELICOPTER,369E,CEN16FA171,2016,05/04/16 00:00:00,REEDSVILLE,WI,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20130102X35708,BELL HELICOPTER,407,CEN13FA122,2013,01/02/13 00:00:00,CLEAR LAKE,IA,USA,3,1,BELL,407,BELL 407
20120709X83554,ROBINSON HELICOPTER,R22 BETA,WPR12FA298,2012,07/09/12 00:00:00,MURRIETA,CA,USA,1,2,ROBINSON,R22,ROBINSON R22
20060208X00181,ROBINSON,R44,SEA06LA052,2006,02/06/06 00:00:00,HELENA,MT,USA,1,1,ROBINSON,R44,ROBINSON R44
20130403X65155,ROBINSON,R44,ERA13FA186,2013,04/03/13 00:00:00,MIAMI,FL,USA,2,1,ROBINSON,R44,ROBINSON R44
20080909X01417,BELL,206L-1,CHI08FA269,2008,08/31/08 00:00:00,GREENSBURG,IN,USA,3,1,BELL,206,BELL 206
20060228X00255,ROBINSON,R22,ANC06FA020,2006,02/22/06 00:00:00,SCOTTSDALE,AZ,USA,2,1,ROBINSON,R22,ROBINSON R22
20101103X83727,BELL,206,CEN11FA053,2010,11/03/10 00:00:00,MEEKER,CO,USA,1,1,BELL,206,BELL 206
20150330X73700,BELL HELICOPTER TEXTRON,206 L-1,ERA15FA173,2015,03/30/15 00:00:00,SAUCIER,MS,USA,2,1,BELL,206,BELL 206
20140518X03315,AMERICAN EUROCOPTER CORP,AS350B3,WPR14FA195,2014,05/18/14 00:00:00,PEACH SPRINGS,AZ,USA,1,1,AIRBUS,350,AIRBUS 350
20140723X81618,BELL,206A,WPR14FA310,2014,07/23/14 00:00:00,WENATCHEE,WA,USA,1,1,BELL,206,BELL 206
20121115X43423,HUGHES,369D,ERA13LA057,2012,11/15/12 00:00:00,CORNING,NY,USA,2,1,HUGHES,369,HUGHES 369
20060824X01237,EUROCOPTER,AS-350-B3,SEA06GA158,2006,08/13/06 00:00:00,YELLOW PINE,ID,USA,4,1,AIRBUS,350,AIRBUS 350
20060916X01352,HUGHES,369D,LAX06LA288,2006,09/06/06 00:00:00,SOMIS,CA,USA,2,1,HUGHES,369,HUGHES 369
20100705X12909,ROBINSON HELICOPTER,R44,ERA10LA348,2010,07/05/10 00:00:00,MARION,KY,USA,1,1,ROBINSON,R44,ROBINSON R44
20120119X92431,ROBINSON,R44 II,CEN12FA139,2012,01/19/12 00:00:00,CENTERVILLE,LA,USA,2,2,ROBINSON,R44,ROBINSON R44
20150702X24434,SCHWEIZER,269C,WPR15FA205,2015,07/01/15 00:00:00,NEWBERG,OR,USA,2,2,SCHWEIZER,269,SCHWEIZER 269
20080321X00357,ROBINSON,R22 BETA II,NYC08FA134,2008,03/13/08 00:00:00,WILMINGTON,NC,USA,1,1,ROBINSON,R22,ROBINSON R22
20081014X22933,BELL,407,WPR09TA012,2008,10/13/08 00:00:00,SEDONA,AZ,USA,1,1,BELL,407,BELL 407
20150313X72113,EUROCOPTER,AS 350 B2,CEN15FA171,2015,03/12/15 00:00:00,EUFAULA,OK,USA,1,1,AIRBUS,350,AIRBUS 350
20131007X44153,MCDONNELL DOUGLAS HELI CO,369,WPR14LA008,2013,10/06/13 00:00:00,PADUCAH,TX,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20130831X54252,ROBINSON,R44 II,CEN13FA517,2013,08/31/13 00:00:00,CABALLO,NM,USA,3,1,ROBINSON,R44,ROBINSON R44
20101030X30541,MD HELICOPTERS INC,369E,ERA11FA042,2010,10/30/10 00:00:00,THOMAS,WV,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20151211X13514,BELL,407,WPR16FA037,2015,12/10/15 00:00:00,MCFARLAND,CA,USA,4,1,BELL,407,BELL 407
20121128X12341,HUGHES,369,CEN13FA075,2012,11/27/12 00:00:00,CHILDRESS,TX,USA,1,1,HUGHES,369,HUGHES 369
20061122X01705,HUGHES,369E,SEA07LA021,2006,11/21/06 00:00:00,JENSEN,UT,USA,1,1,HUGHES,369,HUGHES 369
20100831X75841,BELL HELICOPTER TEXTRON,206L-1,CEN10FA509,2010,08/31/10 00:00:00,WALNUT GROVE,AR,USA,3,1,BELL,206,BELL 206
20160328X03918,ROBINSON,R44,ERA16FA143,2016,03/27/16 00:00:00,CANADENSIS,PA,USA,1,1,ROBINSON,R44,ROBINSON R44
20070322X00320,MCDONNELL DOUGLAS,369FF,CHI07MA083,2007,03/11/07 00:00:00,HAENA,HI,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20071231X02014,BELL,206L1,DFW08FA053,2007,12/29/07 00:00:00,VENICE,LA,USA,1,1,BELL,206,BELL 206
20060306X00268,SCHWEIZER,269C-1,LAX06LA123,2006,02/25/06 00:00:00,VALENCIA,CA,USA,1,2,SCHWEIZER,269,SCHWEIZER 269
20120529X90616,BELL,206-L4,CEN12FA321,2012,05/28/12 00:00:00,GULF OF MEXICO,,USA,1,1,BELL,206,BELL 206
20090920X34134,ROBINSON HELICOPTER,R22 BETA,WPR09FA459,2009,09/20/09 00:00:00,FOREST GROVE,OR,USA,2,2,ROBINSON,R22,ROBINSON R22
20080505X00592,ROBINSON,R44,DFW08LA122,2008,04/28/08 00:00:00,BARTLETT,TX,USA,1,1,ROBINSON,R44,ROBINSON R44
20080710X01015,SCHWEIZER,269 C-1,LAX08LA213,2008,07/04/08 00:00:00,SUNOL,CA,USA,2,2,SCHWEIZER,269,SCHWEIZER 269
20150322X92548,ROBINSON HELICOPTER COMPANY,R44 II,ERA15FA164,2015,03/22/15 00:00:00,ORLANDO,FL,USA,3,1,ROBINSON,R44,ROBINSON R44
20160218X71040,BELL,206B,WPR16FA072,2016,02/18/16 00:00:00,HONOLULU,HI,USA,1,1,BELL,206,BELL 206
20100214X92140,EUROCOPTER,EC135,WPR10FA133,2010,02/14/10 00:00:00,CAVE CREEK,AZ,USA,5,1,AIRBUS,135,AIRBUS 135
20060607X00691,EUROCOPTER,EC-135P1,NYC06MA131,2006,05/30/06 00:00:00,WASHINGTON,DC,USA,1,1,AIRBUS,135,AIRBUS 135
20060419X00457,ROBINSON,R22 BETA,CHI06FA109,2006,04/13/06 00:00:00,CHELSEA,MI,USA,2,1,ROBINSON,R22,ROBINSON R22
20141202X73240,ROBINSON HELICOPTER COMPANY,R44,WPR15FA051,2014,12/02/14 00:00:00,BOUNTIFUL,UT,USA,2,1,ROBINSON,R44,ROBINSON R44
20070530X00664,EUROCOPTER,AS 350 B3,DFW07GA119,2007,05/22/07 00:00:00,SAN ELIZARIO,TX,USA,1,1,AIRBUS,350,AIRBUS 350
20100526X84456,SCHWEIZER,269C-1,ERA10FA283,2010,05/26/10 00:00:00,BOXBOROUGH,MA,USA,1,2,SCHWEIZER,269,SCHWEIZER 269
20091114X82100,AEROSPATIALE,AS350BA,WPR10FA055,2009,11/14/09 00:00:00,DOYLE,CA,USA,3,1,AIRBUS,350,AIRBUS 350
20070405X00374,ROBINSON,R44 II,DEN07FA079,2007,03/27/07 00:00:00,PONTE VEDRA BCH,FL,USA,2,2,ROBINSON,R44,ROBINSON R44
20100306X05331,ROBINSON HELICOPTER,R22 BETA II,CEN10FA139,2010,03/06/10 00:00:00,COTULLA,TX,USA,2,1,ROBINSON,R22,ROBINSON R22
20130315X34542,SIKORSKY,S-76A++,CEN13FA192,2013,03/15/13 00:00:00,GRAND LAKE,LA,USA,3,1,SIKORSKY,76,SIKORSKY 76
20100717X71900,ROBINSON HELICOPTER COMPANY,R44 II,WPR10LA354,2010,07/16/10 00:00:00,SALT LAKE CITY,UT,USA,1,1,ROBINSON,R44,ROBINSON R44
20141229X15321,ROBINSON HELICOPTER,R22 BETA,ERA15FA085,2014,12/29/14 00:00:00,LAKE WORTH,FL,USA,1,2,ROBINSON,R22,ROBINSON R22
20090309X04818,BELL,206-L4,CEN09FA193,2009,03/08/09 00:00:00,MOUNDRIDGE,KS,USA,1,1,BELL,206,BELL 206
20081013X24743,BELL,206,CEN09FA012,2008,10/13/08 00:00:00,CONROE,TX,USA,2,1,BELL,206,BELL 206
20100206X10511,AEROSPATIALE,AS350,CEN10FA113,2010,02/05/10 00:00:00,EL PASO,TX,USA,3,1,AIRBUS,350,AIRBUS 350
20060705X00868,BELL,206B,CHI06FA173,2006,06/30/06 00:00:00,WALFORD,IA,USA,1,1,BELL,206,BELL 206
20070321X00315,AEROSPATIALE,AS350BA,NYC07MA073,2007,03/08/07 00:00:00,PRINCEVILLE,HI,USA,4,1,AIRBUS,350,AIRBUS 350
20081104X60811,ROBINSON,R-44,ERA09FA036,2008,11/02/08 00:00:00,GALLATIN,TN,USA,1,1,ROBINSON,R44,ROBINSON R44
20060817X01202,ROBINSON,R44 II,SEA06FA159,2006,08/13/06 00:00:00,WARRENTON,OR,USA,3,2,ROBINSON,R44,ROBINSON R44
20160711X32921,BELL HELICOPTER TEXTRON CANADA,407,ERA16FA248,2016,07/11/16 00:00:00,HICKORY,KY,USA,1,1,BELL,407,BELL 407
20160804X45514,SCHWEIZER,269C 1,CEN16FA304,2016,08/03/16 00:00:00,JEANERETTE,LA,USA,1,1,SCHWEIZER,269,SCHWEIZER 269
20060320X00323,BELL,206L-1,DFW06FA083,2006,03/14/06 00:00:00,PATTERSON,LA,USA,2,1,BELL,206,BELL 206
20060209X00187,ROBINSON,R44 II,LAX06FA104,2006,02/07/06 00:00:00,MINDEN,NV,USA,1,1,ROBINSON,R44,ROBINSON R44
20080731X01133,HUGHES,369D,LAX08FA233,2008,07/19/08 00:00:00,PRICE,UT,USA,3,1,HUGHES,369,HUGHES 369
20090201X10015,ROBINSON HELICOPTER,R22 BETA II,WPR09FA104,2009,01/31/09 00:00:00,FILLMORE,CA,USA,1,1,ROBINSON,R22,ROBINSON R22
20160404X74644,BELL,206,ERA16FA144,2016,04/04/16 00:00:00,PIGEON FORGE,TN,USA,5,1,BELL,206,BELL 206
20110102X35752,EUROCOPTER DEUTSCHLAND GMBH,EC 135 P2,ERA11FA101,2010,12/31/10 00:00:00,WEYERS CAVE,VA,USA,2,1,AIRBUS,135,AIRBUS 135
20060510X00540,ROBINSON,R44 RAVEN II,LAX06FA156,2006,05/01/06 00:00:00,DESERT CENTER,CA,USA,2,1,ROBINSON,R44,ROBINSON R44
20090610X23159,AGUSTA SPA,A109E,CEN09PA348,2009,06/09/09 00:00:00,SANTA FE,NM,USA,2,1,AGUSTA,109,AGUSTA 109
20141004X60516,BELL HELICOPTER TEXTRON,206L 1,CEN15FA003,2014,10/04/14 00:00:00,WICHITA FALLS,TX,USA,3,1,BELL,206,BELL 206
20080222X00227,EUROCOPTER FRANCE,AS350B2,DFW08FA062,2008,02/05/08 00:00:00,S. PADRE ISLAND,TX,USA,3,1,AIRBUS,350,AIRBUS 350
20151216X13718,AIRBUS HELICOPTERS,AS350,WPR16FA040,2015,12/15/15 00:00:00,SUPERIOR,AZ,USA,2,1,AIRBUS,350,AIRBUS 350
20150407X12857,HUGHES,369D,ERA15FA178,2015,04/06/15 00:00:00,CHEROKEE,AL,USA,1,1,HUGHES,369,HUGHES 369
20080421X00524,EUROCOPTER,AS 350 B2,ANC08FA053,2008,04/15/08 00:00:00,CHICKALOON,AK,USA,4,1,AIRBUS,350,AIRBUS 350
20080613X00858,BELL,407,DEN08FA101,2008,06/08/08 00:00:00,HUNTSVILLE,TX,USA,4,1,BELL,407,BELL 407
20060905X01290,EUROCOPTER FRANCE,AS350 B2,ANC06GA121,2006,08/21/06 00:00:00,NUIQSUT,AK,USA,1,1,AIRBUS,350,AIRBUS 350
20080109X00032,BELL,206L-3,NYC08FA071,2007,12/30/07 00:00:00,CHEROKEE,AL,USA,3,1,BELL,206,BELL 206
20080908X01405,ROBINSON,R44 II,DFW08FA218,2008,08/29/08 00:00:00,RIDGEDALE,MO,USA,2,2,ROBINSON,R44,ROBINSON R44
20130805X31941,HUGHES,369D,CEN13LA461,2013,08/05/13 00:00:00,ACKERLY,TX,USA,2,1,HUGHES,369,HUGHES 369
20080925X01525,ROBINSON,R44 II,CHI08FA293,2008,09/21/08 00:00:00,KENOSHA,WI,USA,2,1,ROBINSON,R44,ROBINSON R44
20120612X20331,ROBINSON HELICOPTER COMPANY,R44 II,WPR12LA259,2012,06/12/12 00:00:00,EAST WENATCHEE,WA,USA,1,1,ROBINSON,R44,ROBINSON R44
20130612X12326,EUROCOPTER,AS350B2,CEN13FA344,2013,06/11/13 00:00:00,TALIHINA,OK,USA,1,1,AIRBUS,350,AIRBUS 350
20140908X10448,ROBINSON HELICOPTER COMPANY,R44 II,CEN14LA487,2014,09/06/14 00:00:00,MACEDONIA,IA,USA,1,1,ROBINSON,R44,ROBINSON R44
20100325X93604,EUROCOPTER,AS-350-B3,ERA10MA188,2010,03/25/10 00:00:00,BROWNSVILLE,TN,USA,3,1,AIRBUS,350,AIRBUS 350
20100602X01732,ROBINSON,R22 BETA,WPR10FA277,2010,06/02/10 00:00:00,SPOKANE,WA,USA,1,1,ROBINSON,R22,ROBINSON R22
20070920X01418,BELL,206B,MIA07FA147,2007,09/11/07 00:00:00,NOKOMIS,FL,USA,2,1,BELL,206,BELL 206
20061012X01505,ROBINSON,R44,SEA07FA006,2006,10/08/06 00:00:00,SUMNER,WA,USA,1,1,ROBINSON,R44,ROBINSON R44
20121126X75106,ROBINSON HELICOPTER COMPANY,R44 II,WPR13FA054,2012,11/25/12 00:00:00,CORONA,CA,USA,1,1,ROBINSON,R44,ROBINSON R44
20151118X05037,AIRBUS HELICOPTERS,AS350B3E,WPR16FA029,2015,11/18/15 00:00:00,CARLSBAD,CA,USA,2,1,AIRBUS,350,AIRBUS 350
20121005X04242,BELL,407,CEN13FA003,2012,10/05/12 00:00:00,INTRACOASTAL CITY,LA,USA,1,1,BELL,407,BELL 407
20070919X01416,HUGHES,369D,LAX07LA270,2007,09/08/07 00:00:00,ELLENSBURG,WA,USA,1,1,HUGHES,369,HUGHES 369
20100722X21328,EUROCOPTER,AS 350 B2,CEN10FA424,2010,07/22/10 00:00:00,KINGFISHER,OK,USA,2,1,AIRBUS,350,AIRBUS 350
20070808X01151,ROBINSON,R44 II,SEA07FA223,2007,08/02/07 00:00:00,EASTON,WA,USA,4,1,ROBINSON,R44,ROBINSON R44
20160507X31120,AIRBUS,AS350,ANC16FA023,2016,05/06/16 00:00:00,SKAGWAY,AK,USA,1,1,AIRBUS,350,AIRBUS 350
20071227X01994,BELL,407,NYC08LA028,2007,11/09/07 00:00:00,MORRISTOWN,TN,USA,1,1,BELL,407,BELL 407
20080201X00130,ROBINSON HELICOPTER,R22 BETA,LAX08FA052,2008,01/25/08 00:00:00,LOS ANGELES,CA,USA,1,1,ROBINSON,R22,ROBINSON R22
20070802X01089,EUROCOPTER,AS350-B2,LAX07MA231,2007,07/27/07 00:00:00,PHOENIX,AZ,USA,4,1,AIRBUS,350,AIRBUS 350
20070802X01089,EUROCOPTER,AS350-B2,LAX07MA231,2007,07/27/07 00:00:00,PHOENIX,AZ,USA,4,1,AIRBUS,350,AIRBUS 350
20060605X00682,BELL,206L-3,DFW06IA145,2006,05/30/06 00:00:00,GRAND ISLE 43AA,GM,USA,1,1,BELL,206,BELL 206
20140717X70001,AGUSTA SPA,A109E,CEN14FA369,2014,07/17/14 00:00:00,NEWKIRK,NM,USA,3,1,AGUSTA,109,AGUSTA 109
20160612X85856,ROBINSON HELICOPTER COMPANY,R44 II,CEN16FA215,2016,06/12/16 00:00:00,JONESBORO,AR,USA,1,1,ROBINSON,R44,ROBINSON R44
